Month_Year,Policy_Number,Client_Name,Product,Billed_Amount,Paid_Amount,Difference,Status,Consistency
Mar 2025,nan,nan,,0,0,0,Correct Payment,
Mar 2025,Row Labels,Row Labels,,0,0,0,Correct Payment,
Mar 2025,Bolibeng Funeral Scheme,Bolibeng Funeral Scheme,,0,0,0,Correct Payment,
Mar 2025,Bolibeng Funeral Scheme NEW,Bolibeng Funeral Scheme NEW,,0,0,0,Correct Payment,
Mar 2025,Kobo Anela Funeral,Kobo Anela Funeral,,0,0,0,Correct Payment,
Mar 2025,Kobo Anela Lifestyle,Kobo Anela Lifestyle,,0,0,0,Correct Payment,
Mar 2025,Lehae,Lehae,,0,0,0,Correct Payment,
Mar 2025,Lesotho Correctional Services Funeral Plan,Lesotho Correctional Services Funeral Plan,,0,0,0,Correct Payment,
Mar 2025,Life Sure,Life Sure,,0,0,0,Correct Payment,
Mar 2025,Linare,Linare,,0,0,0,Correct Payment,
Mar 2025,Lioli Funeral Plan,Lioli Funeral Plan,,0,0,0,Correct Payment,
Mar 2025,Mahlaseli Group Scheme,Mahlaseli Group Scheme,,0,0,0,Correct Payment,
Mar 2025,Mate Funeral,Mate Funeral,,0,0,0,Correct Payment,
Mar 2025,Matlama Benefit,Matlama Benefit,,0,0,0,Correct Payment,
Mar 2025,Matlama Funeral Plan,Matlama Funeral Plan,,0,0,0,Correct Payment,
Mar 2025,Matseliso (Old) Funeral Plan,Matseliso (Old) Funeral Plan,,0,0,0,Correct Payment,
Mar 2025,Matseliso Funeral (New),Matseliso Funeral (New),,0,0,0,Correct Payment,
Mar 2025,Matseliso Group Scheme,Matseliso Group Scheme,,0,0,0,Correct Payment,
Mar 2025,Mohahlaula,Mohahlaula,,0,0,0,Correct Payment,
Mar 2025,Molemo Funeral Plan,Molemo Funeral Plan,,0,0,0,Correct Payment,
Mar 2025,NSS,NSS,,0,0,0,Correct Payment,
Mar 2025,Prosperity,Prosperity,,0,0,0,Correct Payment,
Mar 2025,ReBasotho Savings Plan,ReBasotho Savings Plan,,0,0,0,Correct Payment,
Mar 2025,Sekhele,Sekhele,,0,0,0,Correct Payment,
Mar 2025,Standalone Coffin and Funeral Services,Standalone Coffin and Funeral Services,,0,0,0,Correct Payment,
Mar 2025,Thari Funeral Scheme,Thari Funeral Scheme,,0,0,0,Correct Payment,
Mar 2025,Thari Group Scheme,Thari Group Scheme,,0,0,0,Correct Payment,
Mar 2025,Tse Putsoa Funeral Plan,Tse Putsoa Funeral Plan,,0,0,0,Correct Payment,
Mar 2025,U Mang (New),U Mang (New),,0,0,0,Correct Payment,
Mar 2025,U Mang Legacy,U Mang Legacy,,0,0,0,Correct Payment,
Mar 2025,Grand Total,Grand Total,,0,0,0,Correct Payment,
